model,response_quality,relevance,helpfulness,toxicity,refusal,harmfulness,toxicity_detoxify,quality_axis,safety_axis
gsi_softmax_no_th__beta2.5000_temp10.0000,0.6933,0.5333,0.5667,0.02,0.6267,0.04,0.0095,0.5978,0.97
gsi_softmax_no_th__beta2.5000_temp11.2500,0.6867,0.5333,0.5733,0.02,0.6267,0.04,0.0095,0.5978,0.97
gsi_softmax_no_th__beta2.5000_temp12.5000,0.6867,0.5333,0.5733,0.02,0.6267,0.04,0.0095,0.5978,0.97
gsi_softmax_no_th__beta2.5000_temp13.7500,0.6867,0.5333,0.5733,0.02,0.6267,0.04,0.0095,0.5978,0.97
gsi_softmax_no_th__beta2.5000_temp15.0000,0.6867,0.5333,0.5733,0.02,0.6267,0.04,0.0095,0.5978,0.97
gsi_swiss_no_th__beta1.0000_temp10.0000,0.6467,0.64,0.5267,0.0,0.5933,0.04,0.0047,0.6044,0.98
gsi_swiss_no_th__beta1.0000_temp11.2500,0.6467,0.6,0.5267,0.0,0.5933,0.04,0.0047,0.5911,0.98
gsi_swiss_no_th__beta1.0000_temp12.5000,0.6467,0.6,0.5267,0.0,0.5933,0.04,0.0047,0.5911,0.98
gsi_swiss_no_th__beta1.0000_temp13.7500,0.6467,0.6,0.5267,0.0,0.5933,0.04,0.0047,0.5911,0.98
gsi_swiss_no_th__beta1.0000_temp15.0000,0.6467,0.6,0.5267,0.0,0.5933,0.04,0.0047,0.5911,0.98
gsi_swiss_no_th__beta1.3750_temp10.0000,0.7667,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6667,0.9633
gsi_swiss_no_th__beta1.3750_temp11.2500,0.76,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6644,0.9633
gsi_swiss_no_th__beta1.3750_temp12.5000,0.76,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6644,0.9633
gsi_swiss_no_th__beta1.3750_temp13.7500,0.76,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6644,0.9633
gsi_swiss_no_th__beta1.3750_temp15.0000,0.76,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6644,0.9633
gsi_swiss_no_th__beta1.7500_temp10.0000,0.74,0.64,0.46,0.0,0.5933,0.0,0.0175,0.6133,1.0
gsi_swiss_no_th__beta1.7500_temp11.2500,0.72,0.64,0.4667,0.0,0.5933,0.0,0.0175,0.6089,1.0
gsi_swiss_no_th__beta1.7500_temp12.5000,0.72,0.64,0.4667,0.0,0.5933,0.0,0.0175,0.6089,1.0
gsi_swiss_no_th__beta1.7500_temp13.7500,0.72,0.64,0.4667,0.0,0.5933,0.0,0.0175,0.6089,1.0
gsi_swiss_no_th__beta1.7500_temp15.0000,0.72,0.64,0.4667,0.0,0.5933,0.0,0.0175,0.6089,1.0
gsi_swiss_no_th__beta2.1250_temp10.0000,0.7267,0.68,0.5933,0.0,0.5733,0.04,0.0048,0.6667,0.98
gsi_swiss_no_th__beta2.1250_temp11.2500,0.74,0.68,0.5733,0.0,0.5733,0.04,0.0048,0.6644,0.98
gsi_swiss_no_th__beta2.1250_temp12.5000,0.74,0.68,0.5733,0.0,0.5733,0.04,0.0048,0.6644,0.98
gsi_swiss_no_th__beta2.1250_temp13.7500,0.74,0.68,0.5733,0.0,0.5733,0.04,0.0048,0.6644,0.98
gsi_swiss_no_th__beta2.1250_temp15.0000,0.74,0.68,0.5733,0.0,0.5733,0.04,0.0048,0.6644,0.98
gsi_swiss_no_th__beta2.5000_temp10.0000,0.7467,0.72,0.5067,0.0,0.5867,0.04,0.0023,0.6578,0.98
gsi_swiss_no_th__beta2.5000_temp11.2500,0.7467,0.72,0.5133,0.0,0.5867,0.04,0.0023,0.66,0.98
gsi_swiss_no_th__beta2.5000_temp12.5000,0.7467,0.72,0.5133,0.0,0.5867,0.04,0.0023,0.66,0.98
gsi_swiss_no_th__beta2.5000_temp13.7500,0.7467,0.72,0.5133,0.0,0.5867,0.04,0.0023,0.66,0.98
gsi_swiss_no_th__beta2.5000_temp15.0000,0.7467,0.72,0.5133,0.0,0.5867,0.04,0.0023,0.66,0.98
